,url,level,source
0,https://www.linkedin.com/in/antony-jenkins/,L4,Successful
1,https://www.linkedin.com/in/ben-hindson-09739813/,L4,Successful
2,https://www.linkedin.com/in/serge-saxonov-7b42572/,L4,Successful
3,https://www.linkedin.com/in/junling-liu-2b90724/,L5,Successful
4,https://www.linkedin.com/in/dun-xiao-3622629/,L4,Successful
5,https://www.linkedin.com/in/micha-grueber-10227814,L4,Successful
6,https://www.linkedin.com/in/philip-liesenfeld-a31851180,L5,Successful
7,https://www.linkedin.com/in/philipp-schr%C3%B6der-b94b6576,L5,Successful
8,https://www.linkedin.com/in/jannik-schall,L3,Successful
9,https://linkedin.com/in/k06aa,L3,Successful
10,https://www.linkedin.com/in/deacix/,L2,Successful
11,https://www.linkedin.com/in/sebastien-mignot-83327b29,L3,Successful
12,https://www.linkedin.com/in/nicoconut/,L2,Successful
13,http://fr.linkedin.com/pub/guillaume-alary-raisonnier/29/486/984/en,L4,Successful
14,https://www.linkedin.com/in/simon-shung-63186b73,L3,Successful
15,https://www.linkedin.com/in/theresajanke/,L3,Successful
16,https://www.linkedin.com/in/davidkirnmd,L4,Successful
17,https://www.linkedin.com/in/ed-tourtellotte-5249441,L4,Successful
18,https://www.linkedin.com/in/david-kelleher-042278,L4,Successful
19,https://www.linkedin.com/in/shiwei-hu-03383527,L4,Successful
20,https://www.linkedin.com/in/kentcyq,L4,Successful
21,https://www.linkedin.com/in/wenyuan-dai-088a7655/,L4,Successful
22,https://www.linkedin.com/in/feng-tian-6b109a77,L4,Successful
23,https://www.linkedin.com/in/panguozhang/,L2,Successful
24,https://www.linkedin.com/in/yunming-wang-b479a583/,L4,Successful
25,http://www.linkedin.com/in/premaljshah,L4,Successful
26,https://www.linkedin.com/in/viralbajaria,L4,Successful
27,https://www.linkedin.com/in/scott-miller-2839826,L4,Successful
28,https://www.linkedin.com/in/christopherpetty,L3,Successful
29,https://www.linkedin.com/in/kjknopp,L5,Successful
30,https://www.linkedin.com/in/steve-araiza-70b94a3,L5,Successful
31,http://www.linkedin.com/in/christopherdavidbrown,L4,Successful
32,https://www.linkedin.com/in/michaeljobin,L3,Successful
33,https://www.linkedin.com/in/leehappy,L5,Successful
34,https://www.linkedin.com/in/steven-ho%E4%BD%95%E8%8B%B1%E5%9C%BB-9949a971/,L5,Successful
35,https://www.linkedin.com/in/davidfenkel,L3,Successful
36,https://www.linkedin.com/in/matthew-bires-8502277,L5,Successful
37,https://www.linkedin.com/in/danielrkatz,L2,Successful
38,https://www.linkedin.com/in/hannes-wiese-4a915b165,L4,Successful
39,https://www.linkedin.com/in/tarek-m%C3%BCller-19898845/,L4,Successful
40,https://www.linkedin.com/in/sebastian-betz-47280b18/,L5,Successful
41,https://www.linkedin.com/in/robert-f-carey-042a101/,L4,Successful
42,https://www.linkedin.com/in/magnachef,L3,Successful
43,https://www.linkedin.com/in/luis-dussan-3704516/,L3,Successful
44,https://www.linkedin.com/in/ransom-wuller-78502439/,L3,Successful
45,https://www.linkedin.com/in/faen-zhang-0ab57653/,L3,Successful
46,https://www.linkedin.com/in/jaume-pons-7560384,L3,Successful
47,https://www.linkedin.com/in/matanya/,L3,Successful
48,https://www.linkedin.com/in/erick-davidson-3a14325/,L3,Successful
49,https://www.linkedin.com/in/rileyr/,L4,Successful
50,https://www.linkedin.com/in/ethane/,L3,Successful
51,https://www.linkedin.com/in/gustavo-sapoznik-91858b84,L5,Successful
52,https://www.linkedin.com/in/carl-firth-9919301,L4,Successful
53,https://www.linkedin.com/in/abelavellanemc/,L4,Successful
54,https://www.linkedin.com/in/brand-florian/,L4,Successful
55,https://www.linkedin.com/in/christian-bertermann-02513a52,L4,Successful
56,https://www.linkedin.com/in/hakan-koc,L4,Successful
57,https://www.linkedin.com/in/kevin-heyries-1ab71525/,L3,Successful
58,https://www.linkedin.com/in/v%C3%A9ronique-lecault-b7353434/,L4,Successful
59,https://www.linkedin.com/in/david-fischell-94417219,L5,Successful
60,http://www.linkedin.com/in/evanreiser,L4,Successful
61,https://www.linkedin.com/in/sanjay-jeyakumar/,L4,Successful
62,https://www.linkedin.com/in/sean-mcclain-259a4a53,L4,Successful
63,https://www.linkedin.com/in/mfirsau/,L3,Successful
64,https://www.linkedin.com/in/nick-tuzenko/,L4,Successful
65,https://www.linkedin.com/in/tjeerd-barf-5339932/,L4,Successful
66,https://www.linkedin.com/in/sergio-quezada-6ba56015/,L3,Successful
67,https://www.linkedin.com/in/charles-swanton-29a52011/,L5,Successful
68,https://www.linkedin.com/in/thevarundua,L4,Successful
69,https://www.linkedin.com/in/walter-cruttenden-58097b34,L4,Successful
70,https://www.linkedin.com/in/joshuawalsh/,L3,Successful
71,https://www.linkedin.com/in/mikemurchison,L4,Successful
72,https://www.linkedin.com/in/davidhariri,L3,Successful
73,https://www.linkedin.com/in/prof-dr-martin-christian-hirsch-8636855,L4,Successful
74,https://www.linkedin.com/in/clairenovorol,L4,Successful
75,https://www.linkedin.com/in/nathrath,L4,Successful
76,https://www.linkedin.com/in/peter-luo-80b9675/,L4,Successful
77,https://www.linkedin.com/in/daniel-vallejo-83a01a41/,L3,Successful
78,https://www.linkedin.com/in/elmer-ortega-0112ba40/,L3,Successful
79,https://www.linkedin.com/in/paul1,L3,Successful
80,https://www.linkedin.com/in/manuel-kniep-3bbb36108,L3,Successful
81,https://www.linkedin.com/in/dr-yaron-galanty-0b365784,L3,Successful
82,https://www.linkedin.com/in/gabriel-balmus-17aa5843/,L3,Successful
83,https://www.linkedin.com/in/stephen-jackson-5aa234122/,L5,Successful
84,https://www.linkedin.com/in/andreasglaenzer,L3,Successful
85,https://www.linkedin.com/in/aigelsboeck,L4,Successful
86,https://www.linkedin.com/in/martin-brunthaler,L4,Successful
87,https://www.linkedin.com/in/sjwolf,L5,Successful
88,https://www.linkedin.com/in/sebastian-schneeweiss-23932ab2/,L4,Successful
89,https://www.linkedin.com/in/jeremy-rassen-952b4330,L4,Successful
90,https://www.linkedin.com/in/allon-rauer-64222/,L3,Successful
91,https://www.linkedin.com/in/soroushs,L4,Successful
92,https://www.linkedin.com/in/mina-rezk-80632a3,L4,Successful
93,https://www.linkedin.com/in/doron-harlev-b78260,L4,Successful
94,https://www.linkedin.com/in/drarjungoyal,L5,Successful
95,https://www.linkedin.com/in/jak-knowles-8b0bb83b,L5,Successful
96,https://www.linkedin.com/in/richard-malley-62682386/,L3,Successful
97,https://www.linkedin.com/in/george-siber-b194516,L4,Successful
98,https://www.linkedin.com/in/maxlevchin/,L4,Successful
99,https://www.linkedin.com/in/nick-molnar-478a642a/,L4,Successful
100,https://www.linkedin.com/in/anthony-eisen-a8613814/,L4,Successful
101,https://www.linkedin.com/in/zhaopeng-chen-b82804100/,L4,Successful
102,https://www.linkedin.com/in/jonathan-hurst-b9037a5/,L3,Successful
103,https://www.linkedin.com/in/listerine/,L4,Successful
104,https://www.linkedin.com/in/tozhao/,L4,Successful
105,https://www.linkedin.com/in/yuanqing-lin-8666789/,L4,Successful
106,https://www.linkedin.com/in/gal-yaniv-54775837,L4,Successful
107,https://www.linkedin.com/in/michael-b-braginsky-72885616,L3,Successful
108,https://www.linkedin.com/in/guy-reiner-6173a431,L4,Successful
109,https://www.linkedin.com/in/elad-walach-b3439613,L3,Successful
110,https://www.linkedin.com/in/bryan-walser-md-jd-503273/,L5,Successful
111,https://www.linkedin.com/in/robinkhuda/,L5,Successful
112,https://www.linkedin.com/in/thejo,L4,Successful
113,https://www.linkedin.com/in/micheltricot,L4,Successful
114,https://www.linkedin.com/in/jeanhenrilafleur,L4,Successful
115,https://www.linkedin.com/in/xdurand,L2,Successful
116,https://www.linkedin.com/pub/olivier-pailhes/0/443/50a,L4,Successful
117,https://www.linkedin.com/pub/jonathan-anguelov/11/466/143,L4,Successful
118,http://www.linkedin.com/pub/alan-khalili/6/638/b8b,L3,Successful
119,http://www.linkedin.com/in/howieliu,L4,Successful
120,https://www.linkedin.com/in/aofstad/,L4,Successful
121,https://www.linkedin.com/in/emmett-nicholas-7221ba25,L5,Successful
122,https://www.linkedin.com/in/jack-zhang-05200222,L4,Successful
123,https://www.linkedin.com/in/awxlucy/,L3,Successful
124,https://www.linkedin.com/in/ctryfonas/,L4,Successful
125,https://www.linkedin.com/in/oskarisaarenmaa/,L4,Successful
126,https://www.linkedin.com/in/andersonsumarli/,L2,Successful
127,https://www.linkedin.com/in/yada-piyajomkwan-88713865,L2,Successful
128,https://www.linkedin.com/in/duke-rohlen-7610a2a,L4,Successful
129,https://www.linkedin.com/in/fredericdegombert/,L3,Successful
130,https://www.linkedin.com/in/benoit-jacquemont-657aba9,L5,Successful
131,http://www.linkedin.com/in/yoavkutner,L5,Successful
132,https://www.linkedin.com/in/nicolasdupontakeneo,L4,Successful
133,https://www.linkedin.com/in/nikolay-samusik-50a96216/,L3,Successful
134,https://www.linkedin.com/in/yuri-goltsev-7442b552,L2,Successful
135,https://www.linkedin.com/in/garry-nolan-0b4315,L4,Successful
136,https://www.linkedin.com/in/brian-goodman-8753a13/,L5,Successful
137,https://www.linkedin.com/in/charles-gorintin-12bb1119/,L3,Successful
138,https://www.linkedin.com/in/jcsamuelian,L4,Successful
139,http://www.linkedin.com/in/ssangani/,L4,Successful
140,https://www.linkedin.com/in/venky-ganti-2679a2/,L4,Successful
141,https://www.linkedin.com/in/akalb/en/,L4,Successful
142,https://www.linkedin.com/in/neilgrunberg/,L3,Successful
143,https://www.linkedin.com/in/bradymurphy/,L3,Successful
144,https://www.linkedin.com/in/andrzej-baraniak-2195b71/,L4,Successful
145,https://www.linkedin.com/in/nikil-viswanathan-1899693,L4,Successful
146,https://www.linkedin.com/in/asa-abeliovich-59735a5,L5,Successful
147,https://www.linkedin.com/in/arnon-rosenthal-phd-676b928,L5,Successful
148,https://www.linkedin.com/in/farzad-mostashari-933210/,L4,Successful
149,https://www.linkedin.com/in/mat-kendall-460ba91/,L4,Successful
150,https://www.linkedin.com/in/giorgio-anania-73ab083/,L5,Successful
151,https://www.linkedin.com/in/philippe-gilet-9a68a825/,L3,Successful
152,https://www.linkedin.com/in/xavier-hugon-abba3739/,L4,Successful
153,https://www.linkedin.com/in/raymond-chu,L2,Successful
154,https://www.linkedin.com/in/1howardwu,L3,Successful
155,http://www.linkedin.com/in/julienlemoine,L3,Successful
156,http://www.linkedin.com/in/nicolasdessaigne/,L4,Successful
157,https://www.linkedin.com/in/matheus-moraes-8855a014,L4,Successful
158,https://www.linkedin.com/in/andreflorence,L4,Successful
159,https://www.linkedin.com/in/reza-kazerounian/,L4,Successful
160,https://www.linkedin.com/in/johnkao1,L4,Successful
161,https://www.linkedin.com/in/lawrence-m-blatt-065b2a192,L5,Successful
162,http://www.linkedin.com/in/drdavealbert,L4,Successful
163,http://www.linkedin.com/pub/ashley-dombkowski/44/656/678,L4,Successful
164,https://www.linkedin.com/in/jzwillinger/,L4,Successful
165,https://www.linkedin.com/in/timbrown64,L2,Successful
166,https://www.linkedin.com/in/jason-scott-b9b0592b/,L3,Successful
167,https://www.linkedin.com/in/john-wilson-b778884/,L5,Successful
168,https://www.linkedin.com/in/ann-leen-49888916a/,L4,Successful
169,https://www.linkedin.com/in/laura-spiekerman-7306065/,L4,Successful
170,https://www.linkedin.com/in/charleshearn/,L3,Successful
171,https://fr.linkedin.com/in/louischatriot,L4,Successful
172,https://www.linkedin.com/in/harryritter/,L3,Successful
173,https://www.linkedin.com/in/jorozco1/,L3,Successful
174,https://www.linkedin.com/in/aualvarez/,L4,Successful
175,http://www.linkedin.com/in/jkokko,L4,Successful
176,https://www.linkedin.com/in/tony-pialis-8500b42,L5,Successful
177,https://www.linkedin.com/in/mattieuga/,L4,Successful
178,https://www.linkedin.com/in/jamiekarraker/,L4,Successful
179,https://www.linkedin.com/in/chayes102/,L4,Successful
180,https://www.linkedin.com/in/charles-esdaile-a639694,L4,Successful
181,https://www.linkedin.com/in/jpemul06,L3,Successful
182,https://www.linkedin.com/in/thomas-z-57868b37/,L4,Successful
183,https://www.linkedin.com/in/junwei-huo-46115b2b/,L3,Successful
184,https://www.linkedin.com/in/peijiuli,L3,Successful
185,https://www.linkedin.com/in/michael-wu-8583a820/,L4,Successful
186,https://www.linkedin.com/in/tony-yuhao-he-330b6559,L2,Successful
187,https://www.linkedin.com/in/david-blaauw-4140981/,L4,Successful
188,https://www.linkedin.com/in/scott-hanson-82707b7,L3,Successful
189,https://www.linkedin.com/in/dennis-sylvester-68a938/,L4,Successful
190,https://www.linkedin.com/in/david-bradwell-5691b84,L3,Successful
191,https://www.linkedin.com/in/markus-grompe-m-d-66211273/,L3,Successful
192,https://www.linkedin.com/in/renee-j-james-64182424/,L4,Successful
193,https://www.linkedin.com/in/asantomo/,L4,Successful
194,http://www.linkedin.com/in/johndesouza1,L4,Successful
